DEBUG RUN.PY: Loaded Config Features: {'retransmission': True, 'path_reestablishment': False, 'backup_mixes': False, 'parallel_paths': False, 'anonymous_return_addresses': True, 'layered_encryption': True, 'mock_encryption': True, 'dummy_traffic': False}
DEBUG: Creating log file at logs/Testrun_20260130_000131_03_retransmission_short/c2.log
DEBUG: Reliability Thread STARTING
DEBUG: Monitor Loop ENTERED
DEBUG: Tracking packet 90d34774-2f4a-4b21-859b-994c04228ca3
DEBUG: Tracking packet f623b655-0b6d-4bd4-b808-552352b804c7
DEBUG: Tracking packet 5a8513d9-3ef4-4e0a-bd06-15cc0a997b3b
DEBUG: Tracking packet 1f15a375-332e-4dac-89fc-373c75a28935
DEBUG: Tracking packet c7785869-8485-48d7-9fab-8e65a06af802
DEBUG: Tracking packet 96e86820-cddc-4560-b12e-46a1fdea96df
DEBUG: Tracking packet 2d9d85a7-3fa0-4f5e-882f-73508fc01e67
DEBUG: Tracking packet 54cd71b7-eb3d-4489-806f-9f5bad36fcf1
DEBUG: Tracking packet 221b1064-6a31-4d81-8292-f585205acc4d
DEBUG: Tracking packet 823945f5-0817-4c32-b70a-90dd2cc2f681
DEBUG: Tracking packet 69d224b4-acc0-4e4f-a061-85a899a255a0
DEBUG: Tracking packet 0afd921d-3ef6-4f43-add1-38f792acd244
DEBUG: Tracking packet ccca248f-dbed-47ce-b2e1-e472883fffbf
DEBUG: Tracking packet eba63e13-b6f3-424e-99e5-6e3adb716fd0
DEBUG: Tracking packet 38667513-1f5a-49f4-adff-91468a16c46d
DEBUG: Tracking packet 80cf14d2-da6d-4c7d-acd3-0d9042515a3c
DEBUG: Tracking packet 6fe7536d-b1a8-4e63-bfb8-802f213bb6fd
DEBUG: Tracking packet 5f4974db-b719-49a8-8195-0d101848dd88
DEBUG: Tracking packet e6a948ba-aa29-4e91-8463-1ed5f18fa1cf
DEBUG: Tracking packet 0f47937d-203d-49a3-9b21-ee3b84b8409b
DEBUG: Tracking packet b7905245-26a3-4f2f-8143-9211e45fae26
DEBUG: Tracking packet 6c483b13-7494-42d7-a361-fe8602a2ff8a
DEBUG: Tracking packet 1b184519-0bd3-424e-b874-394f99d3c47e
DEBUG: Tracking packet b5ab530a-0933-43df-a69f-ab1cd226e86e
DEBUG: Tracking packet fa50d2a3-c018-42b7-a484-b9d0cdb9eb58
DEBUG: Tracking packet e03e2623-6e26-4e1d-b0cf-b99b594ba8e1
DEBUG: Tracking packet 3d84cedb-139b-4cb9-b5b0-7b992d1670fc
DEBUG: Tracking packet c387f9bb-f75a-4a01-9387-af8c56d2c5f3
DEBUG: Tracking packet 93974d66-289a-41ea-95e7-91ef354010d8
DEBUG: Tracking packet 2e7a411a-be25-4ce1-b936-15afa828eed5
DEBUG: Tracking packet ff215612-9330-413d-97be-647c4d451ca4
DEBUG: Tracking packet c778affb-467d-4edf-abfc-980452f97f75
DEBUG: Tracking packet c2a31e9e-3c65-4ae2-a74e-2a7984ba2916
DEBUG: Tracking packet e11a3487-a590-4a82-ae92-58e96f42a8b2
DEBUG: Tracking packet d17d72a3-ffeb-408a-84d4-fbea8c47c812
DEBUG: Tracking packet f5320b43-14fb-4faf-a5c5-98a6df6b92ac
DEBUG: Tracking packet 69e90e10-1fc0-455d-a0a2-0f07f76fa907
DEBUG: Tracking packet ccae64d8-49f6-45ec-ba00-00d4a104bd2e
DEBUG: Tracking packet 29989864-01d9-4600-8eb3-86b287417377
DEBUG: Tracking packet f772aeb1-cb96-4eb7-aa34-edb215c45be7
DEBUG: Tracking packet 530f7bcf-d6dc-44db-a4e2-5f72d2ac542f
DEBUG: Tracking packet 0194ce8f-d336-4de7-ae87-57b4d09df2b0
DEBUG: Tracking packet 3db4ecfc-171b-40c0-a4aa-1e8228fb05d8
DEBUG: Tracking packet 36da15da-48cb-431b-ab82-5b7c068bde28
DEBUG: Tracking packet 1ad56e94-2dce-4231-86f5-12dbbcab66ec
DEBUG: Tracking packet e0d9abb7-1823-43b3-9e8d-a150f6297477
DEBUG: Tracking packet 1e5c24ac-306f-40d4-b606-451477b40030
DEBUG: Tracking packet fb779b53-91d8-4165-b6d2-479486fc1e12
DEBUG: Tracking packet bb687997-691f-4e31-8f15-5dc06dd4c99a
DEBUG: Tracking packet d281449d-27df-45f2-97cd-8b39fe16e989
DEBUG: Tracking packet 06c63b10-aa07-48d2-9f09-962f0602e7bb
DEBUG: Tracking packet 4cec925c-ce20-4bbe-b433-d28136eaa2c5
DEBUG: Tracking packet f36cc82c-af2d-473d-bcc3-9cb9f4169c30
DEBUG: Tracking packet afc1eab4-8242-41eb-aa87-10de802fa8d6
DEBUG: Tracking packet 13028e7b-0dbd-4257-b6b7-af150bf55c6e
DEBUG: Tracking packet 9159c95c-e6a6-4fbc-9cb1-3b933ea70cc5
DEBUG: Tracking packet 29e45d0e-4b85-43f5-aa20-459e34a730c2
DEBUG: Tracking packet 1bab04aa-afe1-4743-a974-c5f6af272bb3
DEBUG: Tracking packet cc3b5bbb-c1a8-4002-9995-6bcf9db57ef6
DEBUG: Tracking packet 028f3088-baf3-4f75-9c25-92c15a778529
DEBUG: Tracking packet fde395e8-219d-4d52-92ff-dc3b2a0a1d3a
DEBUG: Tracking packet abcc5c03-5a4c-4785-a56d-31b10096607c
DEBUG: Tracking packet 82ced3f6-197e-4eab-98cd-02f9b9be0910
DEBUG: Tracking packet 85487d73-4fdc-40fb-aa74-09b80c90920a
DEBUG: Tracking packet ca9a471e-9154-45fd-b324-0b6c08ce7780
DEBUG: Tracking packet 0d3ad599-7041-433e-8d7d-7d46de9f6d4b
DEBUG: Tracking packet 127779bb-13a7-4bc3-8ad8-9a2beb7f5ef2
DEBUG: Tracking packet 40558168-40c3-46bd-b091-875b0fb98ba6
DEBUG: Tracking packet b591cd82-bedb-4543-806d-3181b2964c7c
DEBUG: Tracking packet 3e0f2e49-48fb-45b3-9a4d-8210aa8f66b1
DEBUG: Tracking packet 3273a911-a51a-47cd-8136-c505a3893e0f
DEBUG: Tracking packet 0a362180-9218-4c88-8f72-18bc5c64364d
DEBUG: Tracking packet e8eedd31-7be1-4feb-b292-6f278bcb8d25
DEBUG: Tracking packet 135d24cd-90b6-4dc3-b318-1eab8ab9ddc8
DEBUG: Tracking packet bfbdc4e5-8c36-4c93-8a6f-dadf3b6fb3bb
DEBUG: Tracking packet 3984827d-4a4f-4001-9a3f-e8714efd9f40
DEBUG: Tracking packet f1a469e5-16d3-40d9-8f1d-584374d41a2c
DEBUG: Tracking packet fa66ee24-adb0-4941-b34b-367b40654fc7
DEBUG: Tracking packet 94b23add-94bf-4ba2-bc3e-3dbe04d02e89
DEBUG: Tracking packet 1179cb30-6014-4629-af0f-f27c52c71c69
DEBUG: Tracking packet 506a6de6-455f-45f9-a46a-2ec70715086d
DEBUG: Tracking packet 4e0dab14-1671-4467-bf82-04ea4ac56118
DEBUG: Tracking packet b1371dcb-6a81-42e3-9147-6805561e4d0c
DEBUG: Tracking packet accb962f-2074-4c8b-8de7-b4a6df013457
DEBUG: Tracking packet ce4cb44d-7546-4c13-9b20-5dc1a10395a2
DEBUG: Tracking packet 733e5ea1-44a6-4f0a-bd87-e9edbe5c2588
DEBUG: Tracking packet b80ba646-4e3f-48dc-ac4f-119a7442353d
DEBUG: Tracking packet 64cb6979-1c6f-4de7-a61b-d6a32919c439
DEBUG: Tracking packet 891129ce-6b6f-47ed-86f9-f676c488510c
DEBUG: Tracking packet 3dd4ac20-6531-4934-92c7-9cab7ab86200
DEBUG: Tracking packet afb7e9ed-c464-4cf4-85ab-0dc69252bbaa
DEBUG: Tracking packet b396fde4-173b-4050-9ba6-3542d49399ef
DEBUG: Tracking packet be81c270-35c5-4adb-b78a-4ac4f5e3704d
DEBUG: Tracking packet 548881f6-cdf0-49d5-a8f4-376e1036f67c
DEBUG: Tracking packet dac4dca8-e39e-45d9-ae88-f299a10faa0b
DEBUG: Tracking packet 5db2b0a6-98a4-4c1e-b51d-bf8b40f767d9
DEBUG: Tracking packet 276f70b9-9a8f-484e-b00b-cc3830af0dae
DEBUG: Tracking packet a6caba57-35e0-453c-af43-d600cb73226c
DEBUG: Tracking packet 9f4c6205-bcc7-4d7e-91f5-93cd27788c67
DEBUG: Tracking packet 6e6b30d0-6e62-406c-b6f8-470004cf76cc
DEBUG: Tracking packet 4a0edbbf-64f4-4d69-87c9-370c126c5159
DEBUG: Tracking packet 806e40d5-dbdd-4c96-b5f8-988f973bab79
DEBUG: Tracking packet a0bb5d0f-5bdc-41a0-a149-bcbc180c7b07
DEBUG: Tracking packet 74750121-76bc-4af9-9f46-e285124bc91c
DEBUG: Tracking packet e39be459-0e61-4fc2-949a-1d4eb09d5899
